Alec Burks,pbp.2018,26,UTA,NBA,SG,9,120,17%,54%,29%,,,2.1,5,2,4,3,0,10,0,43,5,5
Deonte Burton,pbp.2019,25,OKC,NBA,SG,3,4,,7%,93%,,,4.4,11.2,0,0,0,0,0,0,0,0,0
Jimmy Butler,pbp.2012,22,CHI,NBA,SG,3,4,2%,14%,85%,,,-80.4,-79.4,0,0,0,0,0,0,0,0,0
Jimmy Butler,pbp.2013,23,CHI,NBA,SF,12,490,,28%,73%,,,-9.9,-15.8,11,4,15,1,21,1,70,5,6
Jimmy Butler,pbp.2014,24,CHI,NBA,SG,5,218,,64%,36%,,,-6.9,-15.8,1,1,7,1,9,0,25,1,5
Jimmy Butler,pbp.2015,25,CHI,NBA,SG,12,506,,82%,18%,,,4.7,12.5,12,5,15,2,31,0,87,7,15
Jimmy Butler,pbp.2017,27,CHI,NBA,SF,6,239,,36%,63%,1%,,-8.9,-7.9,7,5,4,3,18,0,63,4,6
Jimmy Butler,pbp.2018,28,MIN,NBA,SG,5,170,,55%,26%,19%,,-3.6,19.9,3,2,3,0,6,1,50,1,6
Jimmy Butler,pbp.2019,29,PHI,NBA,SF,12,421,,16%,83%,1%,,10.8,29.6,13,1,9,6,31,0,153,8,5
Kentavious Caldwell-Pope,pbp.2016,22,DET,NBA,SG,4,161,,100%,,,,-7.3,18,1,0,2,0,3,1,29,1,1
Isaiah Canaan,pbp.2017,25,CHI,NBA,SG,3,95,100%,,,,,-13,-8,2,3,2,0,3,1,8,0,2
Clint Capela,pbp.2015,20,HOU,NBA,C,17,127,,,,,100%,-6.8,-5.9,1,0,3,1,7,0,12,3,2
Clint Capela,pbp.2016,21,HOU,NBA,C,5,43,,,,12%,88%,-21.1,-1.5,1,0,3,1,1,0,4,1,1
Clint Capela,pbp.2017,22,HOU,NBA,C,11,286,,,,,100%,-2,-8,3,3,16,1,21,0,31,5,15
Clint Capela,pbp.2018,23,HOU,NBA,C,17,520,,,,,100%,4.2,6.5,4,3,17,3,22,0,51,5,9
